"Var1","Var2","Granger_V2","Instant_V2","Granger_V1","Instant_V1"
"Var_1","Var_2","2.37139525860464e-06","0.00400309941666677","1.93231212253231e-07","0.00400309941666677"
"Var_1","Var_3","1.75415237890775e-14","0.0148149853864574","0.0941024543474045","0.0148149853864574"
"Var_1","Var_4","0.0102846520295286","0.125756505041896","0.619522306889115","0.125756505041896"
"Var_1","Var_5","0","0.0310689032506792","2.77699974127188e-10","0.0310689032506792"
"Var_1","Var_6","0.218968617635533","0.717003802799817","0.0446539136634866","0.717003802799817"
"Var_1","Var_7","0.181482929472338","0.193924546702548","0.50750400192384","0.193924546702548"
"Var_1","Var_8","0.0343281877373216","0.937292038347965","0.886927438881314","0.937292038347965"
"Var_1","Var_9","0.257239085276918","0.221086736028257","0.528410511751379","0.221086736028257"
"Var_1","Var_10","0","0.748740802617577","0.902262605506513","0.748740802617577"
"Var_1","Var_11","0.384244101778408","0.00129357077888037","0.901481108683149","0.00129357077888037"
"Var_1","Var_12","0.0322113589974521","0.00497718633773603","0.87222971259322","0.00497718633773603"
"Var_1","Var_13","0.00136774653994065","1.5703998094474e-05","0.164270767706687","1.5703998094474e-05"
"Var_1","Var_14","0.97776908948634","0.213108666332167","0.310219473191067","0.213108666332167"
"Var_1","Var_15","0.00052308271456547","0.0156797116651822","0.669239763658125","0.0156797116651822"
"Var_1","Var_16","3.39769645433252e-05","6.10334009543134e-06","0.288765747215159","6.10334009543134e-06"
"Var_1","Var_17","9.3264758582734e-08","0.000104989617752405","0.0459729425619205","0.000104989617752405"
"Var_1","Var_18","1.05298710699753e-05","0.000457563394826721","3.95949473208645e-09","0.000457563394826721"
"Var_1","Var_19","2.17142326586206e-06","0.65967766315319","1.08270662768639e-07","0.65967766315319"
"Var_1","Var_20","7.1214145691556e-12","0.657339140801176","3.05909337305899e-07","0.657339140801176"
"Var_1","Var_21","2.88831796257938e-08","0.779259767192768","8.24319338676993e-07","0.779259767192768"
"Var_1","Var_22","1.57985346445066e-05","0.566308211963899","1.16963898566524e-08","0.566308211963899"
"Var_1","Var_23","0.399613218965531","0.316722602645326","0.502015365035374","0.316722602645326"
"Var_1","Var_24","0.078889081497688","0.655266890624056","0.96778562426898","0.655266890624056"
"Var_1","Var_25","0.0398087535842895","0.340643002128515","0.441456579162687","0.340643002128515"
"Var_1","Var_26","0.0302991606705342","0.239712932293276","0.362483306550686","0.239712932293276"
